Name, Unique Decks, Played Count, Metagame Share, Total Points, Average Points, Winrate, Trophies, 2-X or better Count
Jeskai, 4, 19, 0.15, 120, 6.32, 0.63, 6, 11
5 Color, 5, 19, 0.15, 78, 4.11, 0.45, 0, 9
Naya, 3, 9, 0.07, 54, 6.00, 0.62, 0, 7
WURG, 2, 8, 0.06, 38, 4.75, 0.46, 0, 4
Jund, 3, 7, 0.05, 33, 4.71, 0.48, 0, 3
Mono White, 1, 6, 0.05, 30, 5.00, 0.56, 0, 4
Boros, 3, 6, 0.05, 24, 4.00, 0.44, 0, 3
Esper, 4, 6, 0.05, 21, 3.50, 0.39, 0, 2
Grixis, 4, 6, 0.05, 33, 5.50, 0.61, 0, 5
WUBG, 2, 6, 0.05, 31, 5.17, 0.54, 1, 2
Mono Red, 3, 5, 0.04, 21, 4.20, 0.47, 0, 2
Abzan, 2, 5, 0.04, 21, 4.20, 0.47, 0, 2
Sultai, 2, 4, 0.03, 18, 4.50, 0.50, 0, 3
Mono Black, 2, 2, 0.02, 9, 4.50, 0.50, 0, 1
Rakdos, 2, 2, 0.02, 9, 4.50, 0.50, 0, 1
Izzet, 1, 2, 0.02, 6, 3.00, 0.33, 0, 0
Simic, 1, 2, 0.02, 6, 3.00, 0.33, 0, 1
Bant, 2, 2, 0.02, 6, 3.00, 0.33, 0, 0
UBRG, 2, 2, 0.02, 15, 7.50, 0.71, 0, 2
Mono Blue, 1, 1, 0.01, 3, 3.00, 0.33, 0, 0
Azorius, 1, 1, 0.01, 6, 6.00, 0.67, 0, 1
Dimir, 1, 1, 0.01, 1, 1.00, 0.11, 0, 0
Mardu, 1, 1, 0.01, 0, 0.00, 0.00, 0, 0
Temur, 1, 1, 0.01, 6, 6.00, 0.67, 0, 1
Mono Green, 0, 0, 0.00, 0, 0, 0, 0, 0
Gruul, 0, 0, 0.00, 0, 0, 0, 0, 0
Selesnya, 0, 0, 0.00, 0, 0, 0, 0, 0
Orzhov, 0, 0, 0.00, 0, 0, 0, 0, 0
Golgari, 0, 0, 0.00, 0, 0, 0, 0, 0
WUBR, 0, 0, 0.00, 0, 0, 0, 0, 0
WBRG, 0, 0, 0.00, 0, 0, 0, 0, 0